player_name,last_season,player_club_id,yellow_cards,red_cards,goals,assists,minutes_played
Alberth Elis,2021,40,2,0,9,1,1416
Alberth Elis,2022,3911,0,0,0,0,253
Alberto Basso Ricci,2022,2239,0,0,0,0,15
Alberto Bueno,2019,2503,2,0,2,4,1131
Alberto Cerri,2019,1390,1,0,1,0,237
Alberto Cerri,2019,2722,1,0,1,0,419
Alberto Cerri,2020,1390,1,0,1,0,357
Alberto Cerri,2023,749,1,0,0,0,349
Alberto Cifuentes,2020,2687,0,0,0,0,180
Alberto Dossena,2023,1390,4,0,2,3,2183
Alberto Grassi,2019,130,6,0,1,2,637
Alberto Grassi,2020,130,3,0,0,0,1178
Alberto Grassi,2021,1390,6,0,0,2,2183
Alberto Grassi,2022,749,3,0,0,0,1194
Alberto Grassi,2023,749,4,0,0,1,1537
Alberto Marí,2022,1049,1,0,1,0,80
Alberto Marí,2023,1049,0,0,0,1,51
Alberto Moleiro,2023,472,0,0,2,3,916
Alberto Moreno,2019,1050,6,0,0,0,1474
Alberto Moreno,2020,1050,0,0,0,0,194
Alberto Moreno,2021,1050,3,0,3,2,1223
Alberto Moreno,2022,1050,7,0,0,1,1296
Alberto Moreno,2023,1050,2,0,1,1,1025
Alberto Paleari,2020,252,0,0,0,0,205
Alberto Paloschi,2019,1390,0,0,0,0,172
Alberto Paloschi,2019,2722,0,0,0,0,438
Alberto Paloschi,2020,1390,0,0,0,0,28
Alberto Perea,2020,2687,0,0,2,3,1550
Alberto Perea,2021,2687,2,0,0,1,775
Alberto Perea,2022,2687,0,0,0,0,45
Alberto Soro,2020,16795,0,0,1,2,338
Alberto Soro,2021,16795,0,0,0,0,575
Alberto Soro,2023,6912,2,0,2,0,412
Alberto Soro,2023,16795,0,0,0,0,7
Alberto del Moral,2022,1050,0,0,0,0,4
Albian Ajeti,2019,379,0,0,0,0,132
Albin Ekdal,2019,1038,8,0,0,4,2388
Albin Ekdal,2020,1038,9,0,2,1,2302
Albin Ekdal,2021,1038,11,0,1,0,1640
Albin Ekdal,2022,3522,6,0,0,2,1731
Aleix Febas,2019,237,4,0,0,3,1699
Aleix García,2020,1533,1,0,0,1,435
Aleix García,2022,12321,1,0,1,6,2341
Aleix García,2023,12321,3,1,3,5,2230
Aleix Garrido,2022,131,0,0,0,0,6
Aleix Vidal,2019,1108,6,0,2,5,2176
Aleix Vidal,2020,368,2,0,0,1,591
Aleix Vidal,2021,714,10,0,2,0,1905
Aleix Vidal,2022,714,10,0,0,3,1020
Alejandro Alfaro,2022,1531,0,0,0,0,14
Alejandro Alvarado,2022,6912,1,0,0,0,65
Alejandro Balde,2021,131,0,0,0,0,188
Alejandro Balde,2022,131,4,0,1,6,2476
Alejandro Balde,2023,131,1,0,0,1,1378
Alejandro Cantero,2020,3368,1,0,0,0,239
Alejandro Cantero,2021,3368,1,0,0,1,594
Alejandro Catena,2021,367,8,0,2,2,3240
Alejandro Catena,2022,367,14,0,1,1,3106
Alejandro Catena,2023,331,6,1,1,1,1686
Alejandro Garnacho,2021,985,0,0,0,0,12
Alejandro Garnacho,2022,985,3,0,3,2,561
Alejandro Garnacho,2023,985,4,0,5,3,1609
Alejandro Grimaldo,2019,294,1,0,0,6,2301
Alejandro Grimaldo,2020,294,4,0,2,10,2467
Alejandro Grimaldo,2021,294,4,0,5,5,2327
Alejandro Grimaldo,2022,294,5,0,5,11,2949
Alejandro Grimaldo,2023,15,1,0,8,10,2065
Alejandro Gómez,2020,2503,0,0,0,0,300
Alejandro Marqués,2022,1465,1,0,3,0,655
Alejandro Marqués,2023,1465,3,0,8,1,1059
Alejandro Pozo,2019,237,0,0,1,2,1498
Alejandro Pozo,2019,368,0,0,0,0,34
Alejandro Pozo,2020,1533,3,0,0,0,2187
Alejandro Pozo,2022,3302,2,0,0,3,1875
Alejandro Pozo,2023,3302,3,0,0,0,834
Alejo Véliz,2023,148,1,0,1,0,45
Alejo Véliz,2023,368,0,0,0,0,19
Aleksa Terzic,2019,430,0,0,0,0,6
Aleksa Terzic,2020,430,0,0,0,0,1
Aleksa Terzic,2021,430,1,0,0,1,262
Aleksa Terzic,2022,430,2,0,1,2,926
Aleksandar Busnic,2023,6912,2,0,0,0,624
Aleksandar Dragovic,2019,15,7,0,0,0,1029
Aleksandar Dragovic,2020,15,3,0,1,0,1132
Aleksandar Kolarov,2019,12,6,0,7,4,2730
Aleksandar Kolarov,2020,46,0,0,0,1,387
Aleksandar Kolarov,2021,46,0,0,0,0,39
Aleksandar Mitrović,2020,931,3,0,3,3,1390
Aleksandar Mitrović,2022,931,7,0,14,2,2016
